date,order_no,format,division_name,orderval,rcvval
2020-10-23,92.0,sm,Grocery Non Food,"16,469.8","16,469.8"
2020-10-20,93.0,sm,Grocery Food,"1,008.0","1,008.0"
2020-10-22,94.0,sm,Grocery Food,341.5,341.5
2020-10-19,95.0,sm,Grocery Food,"5,682.9","5,682.9"
2020-10-19,96.0,sm,Grocery Food,"1,899.8","1,899.8"
2020-10-22,97.0,sm,Grocery Food,910.6,910.6
2020-10-22,98.0,sm,Grocery Food,948.6,948.6
2020-10-20,99.0,sm,Staples,"3,362.0","3,362.0"
2020-10-25,100.0,sm,Grocery Non Food,"4,894.8","4,894.8"
2020-10-22,101.0,sm,Grocery Non Food,"3,041.4","3,041.4"
2020-10-21,102.0,sm,Grocery Food,"20,478.5","20,478.5"
2020-10-20,103.0,sm,Grocery Food,"4,104.3","4,104.3"
2020-10-19,104.0,sm,Grocery Non Food,"1,922.3","1,922.3"
2020-10-20,105.0,sm,Staples,"6,870.9","6,870.9"
2020-10-15,106.0,sm,Staples,"4,333.3","4,333.3"
2020-10-21,107.0,sm,Grocery Food,"12,183.0","12,183.0"
2020-10-21,108.0,sm,Grocery Non Food,"1,547.9","1,547.9"
2020-10-23,109.0,sm,Grocery Non Food,"5,896.0","5,896.0"
2020-10-20,110.0,sm,Grocery Non Food,"1,613.3","1,613.3"
2020-10-22,111.0,sm,Grocery Food,766.3,510.9
2020-10-20,112.0,sm,Grocery Food,"3,354.0","3,354.0"
2020-10-21,113.0,sm,Grocery Food,"4,411.3","4,411.3"
2020-10-25,114.0,sm,Grocery Non Food,"1,440.5","1,440.5"
2020-10-21,115.0,sm,Grocery Food,964.4,964.4
2020-10-20,116.0,sm,Grocery Food,"5,881.5","5,881.5"
2020-10-17,117.0,sm,Grocery Food,537.7,537.7
2020-10-22,118.0,sm,Grocery Food,"5,779.4","5,779.4"
2020-10-25,119.0,sm,Grocery Food,"5,779.4","5,779.4"
2020-10-21,120.0,sm,Grocery Food,"3,228.2","3,228.2"
2020-10-23,121.0,sm,Grocery Food,"3,045.7","3,045.7"
2020-10-18,122.0,sm,Grocery Food,"25,765.9","25,765.9"
2020-10-20,123.0,sm,Grocery Food,790.9,790.9
2020-10-19,124.0,sm,Grocery Food,"3,091.5","3,091.5"
2020-10-21,125.0,sm,Grocery Non Food,"2,173.1","2,173.1"
2020-10-19,126.0,sm,Grocery Food,"21,375.0","21,375.0"
2020-10-20,127.0,sm,Grocery Food,"6,896.4","6,896.4"
2020-10-20,128.0,sm,Grocery Food,"3,789.8","3,789.8"
2020-10-20,129.0,sm,Grocery Food,"1,348.1","1,348.1"
2020-10-19,130.0,sm,Grocery Food,423.2,423.2
2020-10-20,131.0,sm,Grocery Non Food,"2,181.8","2,181.8"
2020-10-20,132.0,sm,Grocery Non Food,"1,613.5","1,613.5"
2020-10-20,133.0,sm,Grocery Non Food,"11,489.9","11,489.9"
2020-10-19,134.0,sm,Grocery Food,"2,571.4","2,571.4"
2020-10-24,135.0,sm,Grocery Non Food,"9,877.6","9,877.6"
2020-10-20,136.0,sm,Grocery Food,"2,016.5","2,016.5"
2020-10-20,137.0,sm,Grocery Food,"25,972.2","25,572.6"
2020-10-22,138.0,sm,Grocery Non Food,"3,565.7","3,565.7"
2020-10-18,139.0,sm,Staples,"35,565.6","10,161.6"
2020-10-20,140.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-16,141.0,sm,Grocery Food,988.6,988.6
2020-10-21,142.0,sm,Grocery Food,"7,768.0","7,768.0"
2020-10-21,143.0,sm,Grocery Non Food,"1,422.1","1,422.1"
2020-10-21,144.0,sm,Grocery Non Food,"1,514.4","1,514.4"
2020-10-25,145.0,sm,Grocery Non Food,"2,107.3","1,465.9"
2020-10-25,146.0,sm,Grocery Food,684.0,684.0
2020-10-25,147.0,sm,Grocery Food,"2,828.7","2,828.7"
2020-10-23,148.0,sm,Grocery Non Food,"2,198.5","2,198.5"
2020-10-21,149.0,sm,Grocery Non Food,"6,995.1","6,995.1"
2020-10-16,150.0,sm,Grocery Food,"3,051.2","3,051.2"
2020-10-21,151.0,sm,Grocery Food,"3,254.8","3,254.8"
2020-10-22,152.0,sm,Grocery Non Food,"5,836.6","5,836.6"
2020-10-21,153.0,sm,Grocery Non Food,"4,512.9","4,512.9"
2020-10-23,154.0,sm,Grocery Non Food,"3,565.7","3,565.7"
2020-10-21,155.0,sm,Grocery Food,"2,276.7","2,276.7"
2020-10-19,156.0,sm,Grocery Food,505.5,505.5
2020-10-22,157.0,sm,Grocery Non Food,"3,231.7","3,231.7"
2020-10-21,158.0,sm,Grocery Food,"2,129.4","2,129.4"
2020-10-23,159.0,sm,Grocery Non Food,"2,343.2","2,343.2"
2020-10-21,160.0,sm,Grocery Non Food,"4,326.8","4,326.8"
2020-10-16,161.0,sm,Grocery Food,"2,730.4","2,730.4"
2020-10-22,162.0,sm,Grocery Food,"1,219.1","1,219.1"
2020-10-22,163.0,sm,Grocery Non Food,"1,522.4","1,522.4"
2020-10-20,164.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-21,165.0,sm,Grocery Food,"7,201.5","6,401.3"
2020-10-21,166.0,sm,Grocery Non Food,"2,252.1","2,252.1"
2020-10-19,167.0,sm,Grocery Non Food,"5,261.7","5,261.7"
2020-10-19,168.0,sm,Grocery Non Food,"1,773.3","1,773.3"
2020-10-20,169.0,sm,Grocery Non Food,"4,773.3","4,773.3"
2020-10-20,170.0,sm,Grocery Non Food,"4,853.4","4,853.4"
2020-10-24,171.0,sm,Grocery Food,"1,554.1","1,554.1"
2020-10-19,172.0,sm,Staples,"2,042.0","2,042.0"
2020-10-22,173.0,sm,Grocery Non Food,"1,684.3","1,684.3"
2020-10-21,174.0,sm,Grocery Non Food,"2,849.5","2,849.5"
2020-10-21,175.0,sm,Grocery Food,"1,801.5","1,801.5"
2020-10-20,176.0,sm,Staples,"23,313.6","23,313.6"
2020-10-20,177.0,sm,Grocery Food,"5,678.7","5,678.7"
2020-10-20,178.0,sm,Grocery Food,"8,082.6","8,082.6"
2020-10-20,179.0,sm,Grocery Non Food,"6,921.8","6,921.8"
2020-10-20,180.0,sm,Grocery Food,"4,513.2","4,513.2"
2020-10-23,181.0,sm,Grocery Food,"2,795.4","2,620.7"
2020-10-21,182.0,sm,Grocery Food,"1,512.4","1,512.4"
2020-10-25,183.0,sm,Grocery Food,"2,991.0","2,991.0"
2020-10-20,184.0,sm,Grocery Food,847.0,847.0
2020-10-21,185.0,sm,Grocery Food,"7,098.4","7,098.4"
2020-10-21,186.0,sm,Grocery Non Food,"5,112.4","5,112.4"
2020-10-20,187.0,sm,Grocery Food,"11,880.0","10,560.0"
2020-10-20,188.0,sm,Grocery Food,"1,614.9","1,614.9"
2020-10-22,189.0,sm,Grocery Food,"3,666.6","3,666.6"
2020-10-20,190.0,sm,Grocery Food,"2,331.2","2,331.2"
2020-10-21,191.0,sm,Grocery Non Food,"4,894.8","4,894.8"
2020-10-21,192.0,sm,Grocery Food,"1,833.3","1,833.3"
2020-10-21,193.0,sm,Grocery Food,"3,608.2","3,608.2"
2020-10-23,194.0,sm,Grocery Non Food,"6,074.9","6,074.9"
2020-10-22,195.0,sm,Grocery Food,"1,354.7","1,354.7"
